seed,vanilla_nominal,best_menu_model,best_menu_gain,fixed_gain,group
1,4063.3003898635375,tvc500,2.799652870288128,-47.99540751316613,middle
2,3642.17279495461,tvc275,213.41622625399327,-17.868976848336388,weak vanilla
3,4003.6611082360027,tvc275,130.7115000706126,-12.060871373779037,middle
4,3732.5589907564886,tvc300,29.38853315538404,11.77591885935999,weak vanilla
5,2917.8434363705314,tvc300,400.56004350759576,7.4892299951416135,weak vanilla
6,4183.4097353140405,tvc500,11.894906702830212,9.182944979758759,elite vanilla
7,4547.0353254269585,tvc400,173.38752615262047,173.38752615262047,elite vanilla
8,4369.129582728951,tvc400,-37.20311487754498,-37.20311487754498,elite vanilla
9,4212.722455138527,tvc400,77.70928599482158,77.70928599482158,elite vanilla
10,4464.435133333319,tvc400,24.33605439956773,24.33605439956773,elite vanilla
11,4158.7027401767255,tvc500,-10.980972347725583,-11.881623064817177,middle
12,3966.548414675924,tvc400,529.6109134789842,529.6109134789842,middle
13,4663.158862493074,tvc500,121.63613216252224,-164.3414150329222,elite vanilla
14,4876.3023959590355,tvc400,91.43942444951517,91.43942444951517,elite vanilla
15,4215.694430449282,tvc400,41.67468344015606,41.67468344015606,elite vanilla
16,3570.6564289764087,tvc500,932.1103761387878,914.393321209506,weak vanilla
17,4087.400173594293,tvc300,63.51625263843789,-425.0946267167651,middle
18,3830.4044578043013,tvc400,1006.9685477449655,1006.9685477449655,weak vanilla
19,3881.806349829511,tvc500,-277.1153844220687,-430.71993747072156,weak vanilla
20,4111.195539388131,tvc400,10.03852744154051,10.03852744154051,middle
21,4266.083067662165,tvc400,-47.15705772936053,-47.15705772936053,elite vanilla
22,4150.039534759292,tvc400,-97.74749847389785,-97.74749847389785,middle
23,4419.153029274638,tvc400,175.46500457743514,175.46500457743514,elite vanilla
24,850.1965000629474,tvc300,1415.2173442278072,-0.6504753579279168,weak vanilla
25,3864.0271006614207,tvc300,557.11673002203,-4.158244451884457,weak vanilla
26,3870.8543428979006,tvc300,699.5604780791837,7.8500737325118735,weak vanilla
27,3927.131361565212,tvc400,-89.3918090961547,-89.3918090961547,middle
28,3628.2275965925514,tvc300,438.86085323746124,166.46681072962383,weak vanilla
29,4140.771915687699,tvc400,15.304477319117495,15.304477319117495,middle
30,4038.980096933728,tvc275,327.4119453416545,32.072612443651224,middle
