scenario_label,model_label,n_paired_seeds,mean_gain_over_vanilla,median_gain_over_vanilla,std_gain,ci95_gain,fraction_seeds_beating_vanilla
actuator_gain_0p5,a2p55,30,-31.419558259528557,-16.68718861693442,422.06420783433094,151.03373706632232,0.43333333333333335
actuator_gain_0p5,a2p65,30,-36.13676416918017,-21.53686066599218,341.01134666419495,122.02934319635318,0.4
actuator_gain_0p5,a2p75,30,-1.615197693095778,6.300356572070285,335.1276199593862,119.92387863525259,0.5
mass_damping_0p5,a2p55,30,13.604219886744007,-26.85005427703419,435.4081933910374,155.80882097199074,0.4666666666666667
mass_damping_0p5,a2p65,30,-25.16631286221123,-39.3341370014295,392.5817505296731,140.48357521424552,0.43333333333333335
mass_damping_0p5,a2p75,30,-20.245338460348616,-24.989285151414038,473.7229473080441,169.51957957565202,0.5
